Common Name,Systematic Name
AAC1,YMR056C
AAC3,YBR085W
AAD10,YJR155W
AAD14,YNL331C
AAD15,YOL165C
AAD3,YCR107W
AAD4,YDL243C
AAD6,YFL056C
AAH1,YNL141W
AAP1,YHR047C
AAR2,YBL074C
AAT1,YKL106W
AAT2,YLR027C
ABD1,YBR236C
ABF1,YKL112W
ABF2,YMR072W
ABM1,YJR108W
ABP1,YCR088W
ABP140,YOR239W
ABZ1,YNR033W
ABZ2,YMR289W
ACA1,YER045C
ACB1,YGR037C
ACC1,YNR016C
ACE2,YLR131C
ACF2,YLR144C
ACF4,YJR083C
ACH1,YBL015W
ACK1,YDL203C
ACM1,YPL267W
ACN9,YDR511W
ACO1,YLR304C
ACO2,YJL200C
ACP1,YKL192C
ACS1,YAL054C
ACS2,YLR153C
ACT1,YFL039C
ADA2,YDR448W
ADD37,YMR184W
ADD66,YKL206C
ADE1,YAR015W
ADE12,YNL220W
ADE13,YLR359W
ADE16,YLR028C
ADE17,YMR120C
ADE2,YOR128C
ADE3,YGR204W
ADE4,YMR300C
"ADE5,7",YGL234W
ADE6,YGR061C
ADE8,YDR408C
ADF1,YCL058W-A
ADH1,YOL086C
ADH2,YMR303C
ADH3,YMR083W
ADH4,YGL256W
ADH5,YBR145W
ADH6,YMR318C
ADH7,YCR105W
ADI1,YMR009W
ADK1,YDR226W
ADK2,YER170W
ADO1,YJR105W
ADP1,YCR011C
ADR1,YDR216W
ADY2,YCR010C
ADY3,YDL239C
ADY4,YLR227C
AEP1,YMR064W
AEP2,YMR282C
AEP3,YPL005W
AFG1,YEL052W
AFG2,YLR397C
AFG3,YER017C
AFI1,YOR129C
AFR1,YDR085C
AFT1,YGL071W
AFT2,YPL202C
AGA1,YNR044W
AGA2,YGL032C
AGC1,YPR021C
AGE1,YDR524C
AGE2,YIL044C
AGP1,YCL025C
AGP2,YBR132C
AGP3,YFL055W
AGX1,YFL030W
AHA1,YDR214W
AHC1,YOR023C
AHC2,YCR082W
AHP1,YLR109W
AHT1,YHR093W
AIF1,YNR074C
AIM1,YAL046C
AIM10,YER087W
AIM11,YER093C-A
AIM13,YFR011C
AIM14,YGL160W
AIM17,YHL021C
AIM18,YHR198C
AIM19,YIL087C
AIM2,YAL049C
AIM20,YIL158W
AIM21,YIR003W
AIM22,YJL046W
AIM23,YJL131C
AIM24,YJR080C
AIM25,YJR100C
AIM26,YKL037W
AIM29,YKR074W
AIM3,YBR108W
AIM32,YML050W
AIM33,YML087C
AIM34,YMR003W
AIM36,YMR157C
AIM37,YNL100W
AIM39,YOL053W
AIM4,YBR194W
AIM41,YOR215C
AIM43,YPL099C
AIM44,YPL158C
AIM45,YPR004C
AIM46,YHR199C
AIM5,YBR262C
AIM6,YDL237W
AIM7,YDR063W
AIM9,YER080W
AIP1,YMR092C
AIR1,YIL079C
AIR2,YDL175C
AKL1,YBR059C
AKR1,YDR264C
AKR2,YOR034C
ALA1,YOR335C
ALB1,YJL122W
ALD2,YMR170C
ALD3,YMR169C
ALD4,YOR374W
ALD5,YER073W
ALD6,YPL061W
ALE1,YOR175C
ALF1,YNL148C
ALG1,YBR110W
ALG11,YNL048W
ALG12,YNR030W
ALG13,YGL047W
ALG14,YBR070C
ALG2,YGL065C
ALG3,YBL082C
ALG5,YPL227C
ALG6,YOR002W
ALG7,YBR243C
ALG8,YOR067C
ALG9,YNL219C
ALK1,YGL021W
ALK2,YBL009W
ALO1,YML086C
ALP1,YNL270C
ALR1,YOL130W
ALR2,YFL050C
ALT1,YLR089C
ALT2,YDR111C
ALY1,YKR021W
ALY2,YJL084C
AMA1,YGR225W
AMD1,YML035C
AMD2,YDR242W
AME1,YBR211C
AMN1,YBR158W
AMS1,YGL156W
ANB1,YJR047C
ANP1,YEL036C
ANR2,YKL047W
ANS1,YHR126C
ANT1,YPR128C
AOS1,YPR180W
APA1,YCL050C
APA2,YDR530C
APC1,YNL172W
APC11,YDL008W
APC2,YLR127C
APC4,YDR118W
APC5,YOR249C
APC9,YLR102C
APD1,YBR151W
APE1,YKL103C
APE2,YKL157W
APE3,YBR286W
APE4,YHR113W
API2,YDR525W
APJ1,YNL077W
APL1,YJR005W
APL2,YKL135C
APL3,YBL037W
APL4,YPR029C
APL5,YPL195W
APL6,YGR261C
APM1,YPL259C
APM2,YHL019C
APM3,YBR288C
APM4,YOL062C
APN1,YKL114C
APN2,YBL019W
APP1,YNL094W
APQ12,YIL040W
APS1,YLR170C
APS2,YJR058C
APS3,YJL024C
APT1,YML022W
APT2,YDR441C
AQR1,YNL065W
AQY1,YPR192W
AQY2,YLL052C
ARA1,YBR149W
ARA2,YMR041C
ARB1,YER036C
ARC1,YGL105W
ARC15,YIL062C
ARC18,YLR370C
ARC19,YKL013C
ARC35,YNR035C
ARC40,YBR234C
ARD1,YHR013C
ARE1,YCR048W
ARE2,YNR019W
ARF1,YDL192W
ARF2,YDL137W
ARF3,YOR094W
ARG1,YOL058W
ARG2,YJL071W
ARG3,YJL088W
ARG4,YHR018C
"ARG5,6",YER069W
ARG7,YMR062C
ARG8,YOL140W
ARG80,YMR042W
ARG81,YML099C
