TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YAL051W,OAF1,227,915,57,0.41295179445120056,0.00039232811181187183,0.2511013215859031,0.64844793469859152,1.5321297031848053,0.052534562211981564,"['ADO1', 'AIM17', 'ALD6', 'ALT1', 'ATG1', 'ATG34', 'ATO2', 'CYB2', 'EMI2', 'ENP2', 'ERG27', 'FAA2', 'FIT3', 'GAL10', 'GAL4', 'GLC3', 'GSY1', 'ICT1', 'ICY1', 'IDP2', 'ILV3', 'LEU4', 'MBR1', 'MET4', 'NCE102', 'NOP15', 'OM14', 'OM45', 'PAH1', 'PAU15', 'PGA3', 'QDR1', 'RBG1', 'RDS1', 'RPC19', 'RSB1', 'RTC3', 'SDH1', 'SDS24', 'SPG4', 'SSF2', 'SYM1', 'TKL1', 'UGA4', 'UME6', 'YBL055C', 'YDL086W', 'YGR283C', 'YIL055C', 'YIL096C', 'YJR011C', 'YLR177W', 'YLR460C', 'YNL095C', 'YNL115C', 'YNL234W', 'YPS1']"
YBL005W,PDR3,3,25,2,0.0010075228371843096,5.7599699145355198e-05,0.6666666666666666,7.3375249499383806,148.88,0.07692307692307693,"['LDB7', 'PDR3']"
YBL008W,HIR1,377,13,2,0.35216281569048896,0.21758120221290597,0.005305039787798408,1.3281072644981506,2.278310548867578,0.005154639175257732,"['SPO19', 'TIP20']"
YBL021C,HAP3,11,150,2,0.11228282285509583,0.033640700636514885,0.18181818181818182,2.775094558335006,6.7672727272727276,0.012578616352201259,"['COX6', 'QCR10']"
YBL103C,RTG3,171,340,19,0.4390000895575855,0.0075407419529754816,0.1111111111111111,0.90559163541192156,1.8245098039215688,0.03861788617886179,"['BRN1', 'DAL5', 'DOG2', 'DPB2', 'FRT2', 'IDP3', 'OSM1', 'PRP3', 'RCY1', 'RKM1', 'SEA4', 'TMT1', 'YER076C', 'YFH7', 'YGR066C', 'YKL091C', 'YNL211C', 'YNR068C', 'YPT52']"
YBR033W,EDS1,561,27,3,0.77354245029554,0.51918213151412185,0.0053475935828877,0.16218935266270698,1.1057635175282234,0.005128205128205128,"['ADE17', 'FUR4', 'UIP4']"
YBR049C,REB1,568,252,37,0.5196763461473295,0.013115911081625006,0.06514084507042253,0.60354738203435043,1.4431799128101945,0.04725415070242656,"['ALG11', 'BBC1', 'CDC50', 'CNA1', 'COS3', 'COX13', 'CSN9', 'DGR2', 'DPL1', 'DXO1', 'EMP70', 'FIN1', 'FRA1', 'GAB1', 'HIR3', 'KAR4', 'KAR5', 'LCD1', 'MFB1', 'MNN10', 'MNN4', 'MPE1', 'NHP6A', 'NUP120', 'OCA4', 'OKP1', 'PAR32', 'RAS1', 'REG1', 'SCJ1', 'SCY1', 'SHE3', 'SPC97', 'WHI3', 'YCP4', 'YDR179W-A', 'YGR045C']"
YBR182C,SMP1,86,78,14,0.05302128911747397,6.6037992079028393e-12,0.16279069767441862,3.8055189313932676,11.652057245080501,0.09333333333333334,"['ASH1', 'CWP1', 'ERG5', 'EXG1', 'HNM1', 'PIR3', 'SBE2', 'SIA1', 'SLT2', 'SMP1', 'SPT14', 'SSK22', 'TRE1', 'UTR2']"
YBR297W,MAL33,631,402,77,0.38032853095319513,1.1016291533172674e-06,0.12202852614896989,0.89479003701080007,1.694739456442037,0.08054393305439331,"['ADE5,7', 'ADH6', 'ADI1', 'AIM34', 'ASN2', 'AVT6', 'CCC2', 'CDC3', 'CHA1', 'COS111', 'COX9', 'CRC1', 'CTT1', 'CUE4', 'CWC24', 'DDI1', 'DEP1', 'ENA1', 'FIT1', 'FIT3', 'FMP48', 'FRE5', 'GLC3', 'GPH1', 'GRX6', 'GSM1', 'GUT1', 'GUT2', 'HHO1', 'HMX1', 'HNT1', 'HPF1', 'HXT7', 'IGD1', 'INO1', 'ISC1', 'ISN1', 'ITR1', 'IXR1', 'JEN1', 'JIP4', 'MAG1', 'MEF2', 'MEP1', 'MEP3', 'MIG1', 'MRK1', 'NKP2', 'NTH2', 'OPT1', 'PCL5', 'PLB3', 'POR1', 'PRX1', 'PTR3', 'RAS1', 'RKM5', 'RSC8', 'SFK1', 'SMX3', 'SOK1', 'SSC1', 'SUR2', 'TDH1', 'TMA10', 'TRF5', 'TUB2', 'UBX6', 'WSC4', 'YAR068W', 'YCT1', 'YDR186C', 'YGR067C', 'YGR122W', 'YHR214W', 'YLR177W', 'YMR196W']"
YCR018C,SRD1,418,54,5,0.7043189145620634,0.37976351727428831,0.011961722488038277,0.33441175244369326,1.236709197235513,0.010706638115631691,"['FUS3', 'PHO5', 'THI21', 'YLR031W', 'YLR446W']"
