TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YBR033W,EDS1,709,153,37,0.34249029389410907,5.8434205772385428e-05,0.05218617771509168,1.1327210889852022,1.9042838574075611,0.044848484848484846,"['ADH2', 'AQY2', 'BNA3', 'CTA1', 'DAL1', 'FBP1', 'FUR4', 'GNP1', 'GPH1', 'GTO1', 'HSP30', 'HXK1', 'HXT10', 'HXT3', 'HXT4', 'IMA1', 'MRP8', 'MRT4', 'REE1', 'ROM1', 'SFK1', 'SNZ1', 'SPO20', 'TDA6', 'TMA10', 'TPO4', 'USV1', 'XKS1', 'YDL124W', 'YGR201C', 'YNL208W', 'YNL234W', 'YOR289W', 'YPC1', 'YPR127W', 'YPS1', 'YSR3']"
YDR034C,LYS14,87,49,28,0.004656994447429698,6.2576954034460706e-40,0.3218390804597701,6.3962602922482157,36.669950738916256,0.25925925925925924,"['ACO2', 'ACS2', 'BIO3', 'BIO4', 'CTP1', 'CUS1', 'DAL7', 'KGD2', 'LYP1', 'LYS1', 'LYS12', 'LYS14', 'LYS2', 'LYS20', 'LYS21', 'LYS4', 'LYS9', 'NIT1', 'ODC2', 'PEX25', 'PML39', 'RAS1', 'RTC2', 'YDL183C', 'YDR056C', 'YGR125W', 'YHM2', 'YOS9']"
YEL009C,GCN4,153,204,82,0.011196336439452519,1.4215967188579631e-82,0.5359477124183006,4.5761633070542693,14.667627835447904,0.29818181818181816,"['ADH5', 'ALD5', 'AMD2', 'ARG1', 'ARG2', 'ARG3', 'ARG4', 'ARG5,6', 'ARG7', 'ARG8', 'ARO1', 'ARO2', 'ARO3', 'ARO4', 'ASN1', 'BAP2', 'BAS1', 'BAT1', 'BNA1', 'BSC5', 'CAF16', 'CPA2', 'DCG1', 'DUR3', 'GGC1', 'GTO1', 'HIS1', 'HIS3', 'HIS4', 'HIS5', 'HIS7', 'HOM3', 'ICY1', 'ICY2', 'IDP1', 'ILV3', 'ILV5', 'ISU1', 'LEU4', 'LEU9', 'LYS1', 'LYS2', 'LYS20', 'LYS21', 'LYS9', 'MAE1', 'MCH4', 'MCT1', 'MET13', 'MET22', 'MPC2', 'MRM1', 'NCE103', 'NIT1', 'ODC2', 'ORT1', 'POP1', 'PSF2', 'PYC2', 'RIM9', 'RTC2', 'RTK1', 'RTS3', 'SNO1', 'SNZ1', 'SSU1', 'STB4', 'STR2', 'STR3', 'SUL1', 'TEA1', 'TMT1', 'TRP3', 'TRP4', 'TRP5', 'UGA3', 'YDR341C', 'YHR020W', 'YJR111C', 'YLR152C', 'YMC2', 'YOR302W']"
YIL036W,CST6,351,136,46,0.08971236439813408,8.6885386124169344e-23,0.13105413105413105,2.9295284649208599,5.379964806435394,0.10430839002267574,"['ADE2', 'AHP1', 'ALT1', 'ALT2', 'ARG1', 'BDH2', 'BDS1', 'CIN5', 'CLB1', 'CPA2', 'DDR2', 'DIP5', 'ECM13', 'FAA1', 'FMP33', 'GCY1', 'GNP1', 'HPF1', 'HSP12', 'ISU1', 'LYS9', 'MSC1', 'MSS11', 'NCA3', 'NCE103', 'PTR2', 'PYC1', 'RIM4', 'RMI1', 'ROX1', 'RTN2', 'SAM3', 'SIP18', 'STL1', 'TPK1', 'VHT1', 'YAR068W', 'YAT2', 'YBR085C-A', 'YER053C-A', 'YGR066C', 'YLR053C', 'YLR108C', 'YNR014W', 'YOR302W', 'ZRT1']"
YJL056C,ZAP1,14,28,6,0.0039778494238462,2.6249433982387537e-11,0.42857142857142855,6.7613785373232664,85.45408163265306,0.16666666666666666,"['RTC4', 'ZAP1', 'ZPS1', 'ZRT1', 'ZRT2', 'ZRT3']"
YJR060W,CBF1,331,506,126,0.08595360348450085,3.1689560451214935e-51,0.3806646525679758,2.3953881092546379,4.200100306891322,0.17721518987341772,"['ADE12', 'ADE3', 'ADH3', 'ADP1', 'APA2', 'APP1', 'ARE2', 'ATG31', 'ATP3', 'ATP7', 'ATX1', 'AVT7', 'BMH1', 'BNA3', 'BOI2', 'BRN1', 'CBF1', 'CIA1', 'CIS3', 'CKB2', 'CSR2', 'CTF19', 'DAP1', 'DOP1', 'DPH2', 'DRS2', 'ECM9', 'ERG20', 'GAR1', 'GRX1', 'GRX2', 'GSH1', 'GTO1', 'GTR1', 'GUP2', 'HAC1', 'HIS5', 'HMF1', 'HOR2', 'HRI1', 'ICY2', 'IDH1', 'IES6', 'IML1', 'KSP1', 'KTR1', 'LHP1', 'LPP1', 'MET1', 'MET10', 'MET13', 'MET14', 'MET16', 'MET2', 'MET22', 'MET28', 'MET3', 'MET32', 'MET5', 'MET8', 'MNN1', 'MNN4', 'MRP4', 'MSH3', 'MTQ1', 'NAB3', 'NCE103', 'NHP6b', 'NOP13', 'OYE3', 'PCS60', 'PDC6', 'PDR8', 'PFK26', 'PGC1', 'PHM6', 'PHO86', 'PIC2', 'POP1', 'PRS2', 'PRS4', 'PSK1', 'PSP2', 'PST1', 'QCR10', 'RIM15', 'RMD6', 'RPN4', 'RPS21a', 'RSM7', 'RVB2', 'SAM2', 'SDS23', 'SER33', 'SFB3', 'SMT3', 'SNC2', 'SPL2', 'SPO23', 'STH1', 'SUL2', 'TDA2', 'TDH1', 'TDH2', 'TRA1', 'TRM3', 'UBC6', 'UTP10', 'VTC1', 'VTI1', 'YAL018C', 'YCT1', 'YDL073W', 'YDL241W', 'YDR061W', 'YIR042C', 'YJR115W', 'YKR073C', 'YLR149C', 'YLR162W', 'YML122C', 'YMR122C', 'YMR31', 'YNG1', 'YNL095C', 'YVC1']"
YKL038W,RGT1,56,96,21,0.017698817839871036,7.3413920902306164e-24,0.375,4.7884247074394368,21.80859375,0.16030534351145037,"['AQR1', 'ARI1', 'BAS1', 'DAK2', 'HXT1', 'HXT2', 'HXT3', 'HXT4', 'HXT6', 'MIG2', 'MIG3', 'MTH1', 'RCK1', 'SKS1', 'STD1', 'TDA1', 'UBP11', 'YKR075C', 'YLR108C', 'YNL234W', 'YOR062C']"
YLR403W,SFP1,90,344,29,0.10216706195532003,2.6708343159846241e-14,0.32222222222222224,2.490298456929112,5.229554263565892,0.07160493827160494,"['ART5', 'GAC1', 'GIS2', 'ILV2', 'IMD3', 'IST2', 'LEU9', 'LIA1', 'MED1', 'MRS6', 'OLA1', 'RBD2', 'RFC5', 'RFU1', 'RGM1', 'RKI1', 'SCP160', 'SNU13', 'SPE3', 'SSB2', 'SUR4', 'TCD2', 'TIF4631', 'TMA19', 'VBA4', 'VPS35', 'YOR342C', 'YPL245W', 'ZRT2']"
YLR451W,LEU3,100,128,55,0.0060298715255727615,3.2093271181427979e-68,0.55,5.3684287231667165,23.989453124999997,0.3179190751445087,"['AFT1', 'ALD5', 'BAP2', 'BAT1', 'BEM4', 'BIO2', 'CAR2', 'CDC60', 'DIC1', 'DIF1', 'FPS1', 'FRS2', 'FSF1', 'GAT1', 'GAT2', 'GID8', 'GIS4', 'GSY1', 'GTR2', 'ILV2', 'ILV3', 'ILV5', 'INO2', 'ISN1', 'ISU2', 'KNH1', 'LEU1', 'LEU4', 'LEU9', 'MAE1', 'MET13', 'MMF1', 'MOD5', 'MOT3', 'OAC1', 'PAN5', 'PCL7', 'PDH1', 'PDR16', 'POR1', 'PTP3', 'QCR6', 'TAH11', 'TAT1', 'TDA1', 'TDA6', 'TEC1', 'VMA7', 'YBL029W', 'YDR124W', 'YFR035C', 'YGR021W', 'YGR067C', 'YKR075C', 'YSA1']"
YMR182C,RGM1,138,92,20,0.06780404800286584,3.3684181140277871e-14,0.14492753623188406,3.4541949702711503,8.794896030245747,0.09523809523809523,"['ENV7', 'GIS1', 'GSY1', 'GUP2', 'HSP42', 'IMA1', 'MGA1', 'MSN4', 'RGS2', 'RPI1', 'SOR2', 'TIR1', 'TOS3', 'WSC4', 'YLR177W', 'YLR413W', 'YMR181C', 'YNR073C', 'YOR387C', 'YPR064W']"
