TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YAL051W,OAF1,165,297,13,0.5753945700546991,0.0994451363621877,0.07878787878787878,0.5879150625926084,1.4810529537802264,0.028953229398663696,"['CLB6', 'LIP2', 'MAK31', 'SDH1', 'SSF2', 'TIP41', 'TRF5', 'XDJ1', 'XRN1', 'YFL066C', 'YHL050C', 'YJR011C', 'YJR079W']"
YBL005W,PDR3,15,129,2,0.14161293211535017,0.045706020408192466,0.13333333333333333,2.5473682134680438,5.770542635658915,0.014084507042253521,"['ATG3', 'SYF1']"
YBL008W,HIR1,2,5583,2,1,1,0,0,0,0,"['HHF1', 'HHT1']"
YBL021C,HAP3,1,5583,1,1,1,0,0,0,0,['GRX4']
YBL054W,TOD6,277,643,39,0.6229421848376712,0.10348530816814409,0.1407942238267148,0.30666427371667693,1.222479240473637,0.04426787741203178,"['AIM3', 'AIM6', 'ATG9', 'CCZ1', 'CDC1', 'CDC36', 'DOA1', 'ECM31', 'ETR1', 'GEP4', 'GIP4', 'HUL5', 'KAR3', 'LSM6', 'MAD1', 'MAK32', 'MTC4', 'NUR1', 'PEX18', 'PEX32', 'PZF1', 'RHO1', 'RQC1', 'RRP1', 'RRP15', 'SAS2', 'SAS4', 'SEO1', 'SNC1', 'SNT2', 'SPS19', 'TAF7', 'TOM20', 'TPT1', 'TRM8', 'YIP1', 'YJL213W', 'YOR022C', 'YPR097W']"
YBL103C,RTG3,52,160,2,0.6982133261687264,0.44202945568701679,0.038461538461538464,0.42910416039773031,1.3420673076923078,0.009523809523809525,"['FRT2', 'HXT10']"
YBR033W,EDS1,28,130,3,0.18279076362767926,0.026434497208230587,0.10714285714285714,2.2284940881678406,4.6013736263736265,0.01935483870967742,"['BLI1', 'RIT1', 'YJR098C']"
YBR049C,REB1,536,137,19,0.5468886987754179,0.063527407703867528,0.03544776119402985,0.60040564492239834,1.444560954352326,0.0290519877675841,"['CFT2', 'DAP2', 'DIS3', 'DPL1', 'HRR25', 'MPT5', 'NOT5', 'PHO91', 'PTM1', 'RGA2', 'RKM4', 'SAT4', 'SCJ1', 'SGF29', 'SPT7', 'STB4', 'YKR015C', 'YLR149C', 'YOR296W']"
YBR083W,TEC1,280,211,14,0.6498522299838796,0.17212955900201693,0.05,0.42861311879700731,1.3229857819905213,0.029350104821802937,"['CNA1', 'COS12', 'CRM1', 'ECM3', 'PIK1', 'PRM2', 'RHB1', 'SAM35', 'SVS1', 'TCB2', 'YDR034C-A', 'YHR125W', 'YKL097C', 'YNL050C']"
YBR150C,TBS1,2,5583,2,1,1,0,0,0,0,"['OTU2', 'YHL012W']"
